name	source
CDuce	https://en.wikipedia.org/wiki/CDuce
Cecil	https://en.wikipedia.org/wiki/Cecil_(programming_language)
Cesil	https://en.wikipedia.org/wiki/Cesil
Céu	https://en.wikipedia.org/wiki/C%C3%A9u_(programming_language)
Ceylon	https://en.wikipedia.org/wiki/Ceylon_(programming_language)
CFEngine	https://en.wikipedia.org/wiki/CFEngine
Cg	https://en.wikipedia.org/wiki/Cg_(programming_language)
Ch	https://en.wikipedia.org/wiki/Ch_(computer_programming)
Chapel	https://en.wikipedia.org/wiki/Chapel_(programming_language)
Charm	https://en.wikipedia.org/wiki/Charm_(language)
CHILL	https://en.wikipedia.org/wiki/CHILL
CHIP-8	https://en.wikipedia.org/wiki/CHIP-8
chomski	https://en.wikipedia.org/wiki/Chomski
ChucK	https://en.wikipedia.org/wiki/ChucK
Cilk	https://en.wikipedia.org/wiki/Cilk
CL	https://en.wikipedia.org/wiki/AS/400_Control_Language
Claire	https://en.wikipedia.org/wiki/Claire_(programming_language)
Clarion	https://en.wikipedia.org/wiki/Clarion_(programming_language)
Clean	https://en.wikipedia.org/wiki/Clean_(programming_language)
Clipper	https://en.wikipedia.org/wiki/Clipper_(programming_language)
CLIPS	https://en.wikipedia.org/wiki/CLIPS_(programming_language)
CLIST	https://en.wikipedia.org/wiki/CLIST
Clojure	https://en.wikipedia.org/wiki/Clojure
CLU	https://en.wikipedia.org/wiki/CLU_(programming_language)
CMS-2	https://en.wikipedia.org/wiki/CMS-2_(programming_language)
COBOL	https://en.wikipedia.org/wiki/COBOL
CobolScript	https://en.wikipedia.org/wiki/CobolScript
Cobra	https://en.wikipedia.org/wiki/Cobra_(programming_language)
CoffeeScript	https://en.wikipedia.org/wiki/CoffeeScript
ColdFusion	https://en.wikipedia.org/wiki/ColdFusion
COMAL	https://en.wikipedia.org/wiki/COMAL
Combined Programming Language	https://en.wikipedia.org/wiki/Combined_Programming_Language
COMIT	https://en.wikipedia.org/wiki/COMIT
Common Intermediate Language	https://en.wikipedia.org/wiki/Common_Intermediate_Language
Common Lisp	https://en.wikipedia.org/wiki/Common_Lisp
COMPASS	https://en.wikipedia.org/wiki/COMPASS
Component Pascal	https://en.wikipedia.org/wiki/Component_Pascal
Constraint Handling Rules	https://en.wikipedia.org/wiki/Constraint_Handling_Rules
COMTRAN	https://en.wikipedia.org/wiki/COMTRAN
Cool	https://en.wikipedia.org/wiki/Cool_(programming_language)
Coq	https://en.wikipedia.org/wiki/Coq
Coral 66	https://en.wikipedia.org/wiki/Coral_66
CorVision	https://en.wikipedia.org/wiki/CorVision
COWSEL	https://en.wikipedia.org/wiki/COWSEL
CPL	https://en.wikipedia.org/wiki/CPL_(programming_language)
Cryptol	https://en.wikipedia.org/wiki/Cryptol
Crystal	https://en.wikipedia.org/wiki/Crystal_(programming_language)
Csound	https://en.wikipedia.org/wiki/Csound
Cuneiform	https://en.wikipedia.org/wiki/Cuneiform_(programming_language)
Curl	https://en.wikipedia.org/wiki/Curl_(programming_language)
Curry	https://en.wikipedia.org/wiki/Curry_(programming_language)
Cybil	https://en.wikipedia.org/wiki/Cybil_(programming_language)
Cyclone	https://en.wikipedia.org/wiki/Cyclone_(programming_language)
Cypher Query Language	https://en.wikipedia.org/wiki/Cypher_Query_Language
Cython	https://en.wikipedia.org/wiki/Cython
CEEMAC	https://en.wikipedia.org/wiki/CEEMAC
D	https://en.wikipedia.org/wiki/D_(programming_language)
Dart	https://en.wikipedia.org/wiki/Dart_(programming_language)
Darwin	https://en.wikipedia.org/wiki/Darwin_(programming_language)
DataFlex	https://en.wikipedia.org/wiki/DataFlex
Datalog	https://en.wikipedia.org/wiki/Datalog
DATATRIEVE	https://en.wikipedia.org/wiki/DATATRIEVE
dBase	https://en.wikipedia.org/wiki/DBase
dc	https://en.wikipedia.org/wiki/Dc_(computer_program)
DCL	https://en.wikipedia.org/wiki/DIGITAL_Command_Language
Delphi	https://en.wikipedia.org/wiki/Delphi_(software)
DinkC	https://en.wikipedia.org/wiki/Dink_Smallwood
DIBOL	https://en.wikipedia.org/wiki/DIBOL
Dog	https://en.wikipedia.org/wiki/Dog_(programming_language)
Draco	https://en.wikipedia.org/wiki/Draco_(programming_language)
DRAKON	https://en.wikipedia.org/wiki/DRAKON
Dylan	https://en.wikipedia.org/wiki/Dylan_(programming_language)
DYNAMO	https://en.wikipedia.org/wiki/DYNAMO_(programming_language)
DAX (Data Analysis Expressions)	https://en.wikipedia.org/wiki/Data_analysis_expressions
E	https://en.wikipedia.org/wiki/E_(programming_language)
Ease	https://en.wikipedia.org/wiki/Ease_(programming_language)
Easy PL/I	https://en.wikipedia.org/wiki/PL/I
EASYTRIEVE PLUS	https://en.wikipedia.org/wiki/Easytrieve
eC	https://en.wikipedia.org/wiki/EC_(programming_language)
ECMAScript	https://en.wikipedia.org/wiki/ECMAScript
Edinburgh IMP	https://en.wikipedia.org/wiki/Edinburgh_IMP
EGL	https://en.wikipedia.org/wiki/EGL_(programming_language)
Eiffel	https://en.wikipedia.org/wiki/Eiffel_(programming_language)
ELAN	https://en.wikipedia.org/wiki/ELAN_(programming_language)
Elixir	https://en.wikipedia.org/wiki/Elixir_(programming_language)
Elm	https://en.wikipedia.org/wiki/Elm_(programming_language)
Emacs Lisp	https://en.wikipedia.org/wiki/Emacs_Lisp
Emerald	https://en.wikipedia.org/wiki/Emerald_(programming_language)
Epigram	https://en.wikipedia.org/wiki/Epigram_(programming_language)
EPL (Easy Programming Language)	https://en.wikipedia.org/wiki/Easy_Programming_Language
EPL (Eltron Programming Language)	https://en.wikipedia.org/wiki/Eltron_Programming_Language
Erlang	https://en.wikipedia.org/wiki/Erlang_(programming_language)
es	https://en.wikipedia.org/wiki/Es_(Unix_shell)
Escher	https://en.wikipedia.org/wiki/Escher_(programming_language)
ESPOL	https://en.wikipedia.org/wiki/Executive_Systems_Problem_Oriented_Language
Esterel	https://en.wikipedia.org/wiki/Esterel
Etoys	https://en.wikipedia.org/wiki/Etoys_(programming_language)
Euclid	https://en.wikipedia.org/wiki/Euclid_(programming_language)
Euler	https://en.wikipedia.org/wiki/Euler_(programming_language)
Euphoria	https://en.wikipedia.org/wiki/Euphoria_(programming_language)
EusLisp Robot Programming Language	https://en.wikipedia.org/wiki/EusLisp_Robot_Programming_Language
CMS EXEC	https://en.wikipedia.org/wiki/CMS_EXEC
EXEC 2	https://en.wikipedia.org/wiki/EXEC_2
Executable UML	https://en.wikipedia.org/wiki/Executable_UML
Ezhil	https://en.wikipedia.org/wiki/Ezhil_(programming_language)
F	https://en.wikipedia.org/wiki/F_(programming_language)
F#	https://en.wikipedia.org/wiki/F_Sharp_(programming_language)
F*	https://en.wikipedia.org/wiki/F*_(programming_language)
Factor	https://en.wikipedia.org/wiki/Factor_(programming_language)
Fantom	https://en.wikipedia.org/wiki/Fantom_(programming_language)
FAUST	https://en.wikipedia.org/wiki/FAUST_(programming_language)
FFP	https://en.wikipedia.org/wiki/FFP_(programming_language)
fish	https://en.wikipedia.org/wiki/Friendly_interactive_shell
Fjölnir	https://en.wikipedia.org/wiki/Fj%C3%B6lnir_(programming_language)
FL	https://en.wikipedia.org/wiki/FL_(programming_language)
Flavors	https://en.wikipedia.org/wiki/Flavors_(programming_language)
Flex	https://en.wikipedia.org/wiki/Flex_(language)
Flix	https://en.wikipedia.org/wiki/Flix_(programming_language)
FlooP	https://en.wikipedia.org/wiki/BlooP_and_FlooP
FLOW-MATIC	https://en.wikipedia.org/wiki/FLOW-MATIC
FOCAL	https://en.wikipedia.org/wiki/FOCAL_(programming_language)
FOCUS	https://en.wikipedia.org/wiki/FOCUS
FOIL	https://en.wikipedia.org/wiki/FOIL_(programming_language)
FORMAC	https://en.wikipedia.org/wiki/FORMAC_(programming_language)
@Formula	https://en.wikipedia.org/wiki/Formula_language
Forth	https://en.wikipedia.org/wiki/Forth_(programming_language)
Fortran	https://en.wikipedia.org/wiki/Fortran
Fortress	https://en.wikipedia.org/wiki/Fortress_(programming_language)
FP	https://en.wikipedia.org/wiki/FP_(programming_language)
Franz Lisp	https://en.wikipedia.org/wiki/Franz_Lisp
Futhark	https://en.wikipedia.org/wiki/Futhark_(programming_language)
F-Script	https://en.wikipedia.org/wiki/F-Script_(programming_language)
Game Maker Language	https://en.wikipedia.org/wiki/Game_Maker_Language
Scripting language	https://en.wikipedia.org/wiki/Scripting_language
GameMonkey Script	https://en.wikipedia.org/wiki/GameMonkey_Script
GAMS	https://en.wikipedia.org/wiki/General_Algebraic_Modeling_System
GAP	https://en.wikipedia.org/wiki/GAP_computer_algebra_system
G-code	https://en.wikipedia.org/wiki/G-code
GDScript	https://en.wikipedia.org/wiki/GDScript
Genie	https://en.wikipedia.org/wiki/Genie_(programming_language)
GDL	https://en.wikipedia.org/wiki/Geometric_Description_Language
GEORGE	https://en.wikipedia.org/wiki/GEORGE_(programming_language)
GLSL	https://en.wikipedia.org/wiki/GLSL
GNU E	https://en.wikipedia.org/wiki/GNU_E
GNU Guile	https://en.wikipedia.org/wiki/GNU_Guile
Go	https://en.wikipedia.org/wiki/Go_(programming_language)
Go!	https://en.wikipedia.org/wiki/Go!_(programming_language)
GOAL	https://en.wikipedia.org/wiki/Game_Oriented_Assembly_Lisp
Gödel	https://en.wikipedia.org/wiki/G%C3%B6del_(programming_language)
Golo	https://en.wikipedia.org/wiki/Golo_(programming_language)
GOM (Good Old Mad)	https://en.wikipedia.org/wiki/MAD_(programming_language)
Google Apps Script	https://en.wikipedia.org/wiki/Google_Apps_Script
Gosu	https://en.wikipedia.org/wiki/Gosu_(programming_language)
GOTRAN	https://en.wikipedia.org/wiki/IBM_1620
GPSS	https://en.wikipedia.org/wiki/GPSS
GraphTalk	https://en.wikipedia.org/wiki/Computer_Sciences_Corporation
GRASS	https://en.wikipedia.org/wiki/GRASS_(programming_language)
Grasshopper	https://en.wikipedia.org/wiki/Grasshopper_3D
Groovy	https://en.wikipedia.org/wiki/Groovy_(programming_language)
Hack	https://en.wikipedia.org/wiki/Hack_(programming_language)
HAGGIS	https://en.wikipedia.org/wiki/HAGGIS
HAL/S	https://en.wikipedia.org/wiki/HAL/S
Halide (programming language)	https://en.wikipedia.org/wiki/Halide_(programming_language)
Hamilton C shell	https://en.wikipedia.org/wiki/Hamilton_C_shell
Harbour	https://en.wikipedia.org/wiki/Harbour_(software)
Hartmann pipelines	https://en.wikipedia.org/wiki/Hartmann_pipeline
Haskell	https://en.wikipedia.org/wiki/Haskell_(programming_language)
Haxe	https://en.wikipedia.org/wiki/Haxe
Hermes	https://en.wikipedia.org/wiki/Hermes_(programming_language)
High Level Assembly	https://en.wikipedia.org/wiki/High_Level_Assembly
HLSL	https://en.wikipedia.org/wiki/High_Level_Shader_Language
Hollywood	https://en.wikipedia.org/wiki/Hollywood_(programming_language)
HolyC	https://en.wikipedia.org/wiki/TempleOS
Hop	https://en.wikipedia.org/wiki/Hop_(software)
Hopscotch	https://en.wikipedia.org/wiki/Hopscotch_(programming_language)
Hope	https://en.wikipedia.org/wiki/Hope_(programming_language)
Hugo	https://en.wikipedia.org/wiki/Hugo_(programming_language)
Hume	https://en.wikipedia.org/wiki/Hume_(language)
HyperTalk	https://en.wikipedia.org/wiki/HyperTalk
Io	https://en.wikipedia.org/wiki/Io_(programming_language)
Icon	https://en.wikipedia.org/wiki/Icon_(programming_language)
IBM Basic assembly language	https://en.wikipedia.org/wiki/IBM_Basic_assembly_language
IBM HAScript	https://en.wikipedia.org/wiki/IBM_HAScript
IBM Informix-4GL	https://en.wikipedia.org/wiki/IBM_Informix-4GL
IBM RPG	https://en.wikipedia.org/wiki/IBM_RPG
IDL	https://en.wikipedia.org/wiki/IDL_(programming_language)
Idris	https://en.wikipedia.org/wiki/Idris_(programming_language)
Inform	https://en.wikipedia.org/wiki/Inform_(programming_language)
J	https://en.wikipedia.org/wiki/J_(programming_language)
J#	https://en.wikipedia.org/wiki/J_Sharp
J++	https://en.wikipedia.org/wiki/Visual_J%2B%2B
JADE	https://en.wikipedia.org/wiki/JADE_(programming_language)
Jai	https://en.wikipedia.org/wiki/Jai_(programming_language)
JAL	https://en.wikipedia.org/wiki/JAL_(compiler)
Janus (concurrent constraint programming language)	https://en.wikipedia.org/wiki/Janus_(concurrent_constraint_programming_language)
Janus (time-reversible computing programming language)	https://en.wikipedia.org/wiki/Janus_(time-reversible_computing_programming_language)
JASS	https://en.wikipedia.org/wiki/JASS_(scripting_language)
Java	https://en.wikipedia.org/wiki/Java_(programming_language)
JavaFX Script	https://en.wikipedia.org/wiki/JavaFX_Script
JavaScript	https://en.wikipedia.org/wiki/JavaScript
Jess (programming language)	https://en.wikipedia.org/wiki/Jess_(programming_language)
JCL	https://en.wikipedia.org/wiki/Job_Control_Language
JEAN	https://en.wikipedia.org/wiki/JEAN
Join Java	https://en.wikipedia.org/wiki/Join_Java
JOSS	https://en.wikipedia.org/wiki/JOSS
Joule	https://en.wikipedia.org/wiki/Joule_(programming_language)
JOVIAL	https://en.wikipedia.org/wiki/JOVIAL
Joy	https://en.wikipedia.org/wiki/Joy_(programming_language)
JScript	https://en.wikipedia.org/wiki/JScript
JScript .NET	https://en.wikipedia.org/wiki/JScript_.NET
Julia	https://en.wikipedia.org/wiki/Julia_(programming_language)
Jython	https://en.wikipedia.org/wiki/Jython
K	https://en.wikipedia.org/wiki/K_(programming_language)
Kaleidoscope	https://en.wikipedia.org/wiki/Kaleidoscope_(programming_language)
Karel	https://en.wikipedia.org/wiki/Karel_(programming_language)
KEE	https://en.wikipedia.org/wiki/IntelliCorp_(Software)
Kixtart	https://en.wikipedia.org/wiki/KiXtart
Klerer-May System	https://en.wikipedia.org/wiki/Klerer-May_System
KIF	https://en.wikipedia.org/wiki/Knowledge_Interchange_Format
Kojo	https://en.wikipedia.org/wiki/Kojo_(programming_language)
Kotlin	https://en.wikipedia.org/wiki/Kotlin_(programming_language)
KRC	https://en.wikipedia.org/wiki/Kent_Recursive_Calculator
KRL	https://en.wikipedia.org/wiki/KRL_(programming_language)
KUKA Robot Language	https://en.wikipedia.org/wiki/KUKA_Robot_Language
KRYPTON	https://en.wikipedia.org/wiki/KRYPTON
KornShell (ksh)	https://en.wikipedia.org/wiki/KornShell
Kodu	https://en.wikipedia.org/wiki/Kodu_Game_Lab
Kv	https://en.wikipedia.org/wiki/Kivy_(framework)
LabVIEW	https://en.wikipedia.org/wiki/LabVIEW
Ladder	https://en.wikipedia.org/wiki/Ladder_logic
LANSA	https://en.wikipedia.org/wiki/LANSA_(development_environment)
Lasso	https://en.wikipedia.org/wiki/Lasso_(programming_language)
Lava	https://en.wikipedia.org/wiki/Lava_(programming_language)
LC-3	https://en.wikipedia.org/wiki/Little_Computer_3
Lean	https://en.wikipedia.org/wiki/Lean_(proof_assistant)
Legoscript	https://en.wikipedia.org/wiki/Legoscript
LIL	https://en.wikipedia.org/wiki/Little_Implementation_Language
LilyPond	https://en.wikipedia.org/wiki/LilyPond
Limbo	https://en.wikipedia.org/wiki/Limbo_(programming_language)
Limnor	https://en.wikipedia.org/wiki/Limnor
LINC	https://en.wikipedia.org/wiki/LINC_4GL
Lingo	https://en.wikipedia.org/wiki/Lingo_(programming_language)
LINQ	https://en.wikipedia.org/wiki/LINQ
LIS	https://en.wikipedia.org/wiki/LIS_(programming_language)
LISA	https://en.wikipedia.org/wiki/Language_for_Instruction_Set_Architecture
Language H	https://en.wikipedia.org/wiki/Language_H
Lisp	https://en.wikipedia.org/wiki/Lisp_(programming_language)
Lite-C	https://en.wikipedia.org/wiki/Lite-C
Lithe	https://en.wikipedia.org/wiki/Lithe_(programming_language)
Little b	https://en.wikipedia.org/wiki/Little_b_(programming_language)
LLL	https://en.wikipedia.org/wiki/Ethereum
Logo	https://en.wikipedia.org/wiki/Logo_(programming_language)
Logtalk	https://en.wikipedia.org/wiki/Logtalk
LotusScript	https://en.wikipedia.org/wiki/LotusScript
LPC	https://en.wikipedia.org/wiki/LPC_(programming_language)
LSE	https://en.wikipedia.org/wiki/LSE_(programming_language)
LSL	https://en.wikipedia.org/wiki/Linden_Scripting_Language
LiveCode	https://en.wikipedia.org/wiki/LiveCode
LiveScript	https://en.wikipedia.org/wiki/LiveScript
Lua	https://en.wikipedia.org/wiki/Lua_(programming_language)
Lucid	https://en.wikipedia.org/wiki/Lucid_(programming_language)
Lustre	https://en.wikipedia.org/wiki/Lustre_(programming_language)
LYaPAS	https://en.wikipedia.org/wiki/LYaPAS
Lynx	https://en.wikipedia.org/wiki/Lynx_(programming_language)
M2001	https://en.wikipedia.org/wiki/M2001
M4	https://en.wikipedia.org/wiki/M4_(computer_language)
M#	https://en.wikipedia.org/wiki/M_Sharp_(programming_language)
Machine code	https://en.wikipedia.org/wiki/Machine_code
MAD	https://en.wikipedia.org/wiki/MAD_(programming_language)
MAD/I	https://en.wikipedia.org/wiki/MAD_(programming_language)
Magik	https://en.wikipedia.org/wiki/Magik_(programming_language)
Magma	https://en.wikipedia.org/wiki/Magma_computer_algebra_system
Máni	https://en.wikipedia.org/wiki/M%C3%A1ni
Maple	https://en.wikipedia.org/wiki/Maple_(software)
MAPPER	https://en.wikipedia.org/wiki/MAPPER
MARK-IV	https://en.wikipedia.org/wiki/MARK_IV_(software)
Mary	https://en.wikipedia.org/wiki/Mary_(programming_language)
MATLAB	https://en.wikipedia.org/wiki/MATLAB
MASM Microsoft Assembly x86	https://en.wikipedia.org/wiki/Microsoft_Macro_Assembler
MATH-MATIC	https://en.wikipedia.org/wiki/MATH-MATIC
Maude system	https://en.wikipedia.org/wiki/Maude_system
Maxima	https://en.wikipedia.org/wiki/Maxima_(software)
Macsyma	https://en.wikipedia.org/wiki/Macsyma
Max	https://en.wikipedia.org/wiki/Max_(software)
MaxScript	https://en.wikipedia.org/wiki/Autodesk_3ds_Max
Maya (MEL)	https://en.wikipedia.org/wiki/Maya_Embedded_Language
MDL	https://en.wikipedia.org/wiki/MDL_(programming_language)
Mercury	https://en.wikipedia.org/wiki/Mercury_(programming_language)
Mesa	https://en.wikipedia.org/wiki/Mesa_(programming_language)
MHEG-5 (Interactive TV programming language)	https://en.wikipedia.org/wiki/MHEG-5
Microcode	https://en.wikipedia.org/wiki/Microassembler
MicroScript	https://en.wikipedia.org/wiki/MicroScript_(programming_language)
MIIS	https://en.wikipedia.org/wiki/MIIS_(programming_language)
Milk (programming language)	https://en.wikipedia.org/wiki/Milk_(programming_language)
MIMIC	https://en.wikipedia.org/wiki/MIMIC
Mirah	https://en.wikipedia.org/wiki/Mirah_(programming_language)
Miranda	https://en.wikipedia.org/wiki/Miranda_(programming_language)
MIVA Script	https://en.wikipedia.org/wiki/MIVA_Script
ML	https://en.wikipedia.org/wiki/ML_(programming_language)
Model 204	https://en.wikipedia.org/wiki/Model_204
Modelica	https://en.wikipedia.org/wiki/Modelica
Modula	https://en.wikipedia.org/wiki/Modula
Modula-2	https://en.wikipedia.org/wiki/Modula-2
Modula-3	https://en.wikipedia.org/wiki/Modula-3
Mohol	https://en.wikipedia.org/wiki/Mohol_programming_languages
MOO	https://en.wikipedia.org/wiki/MOO_(programming_language)
Mortran	https://en.wikipedia.org/wiki/Mortran
Mouse	https://en.wikipedia.org/wiki/Mouse_(programming_language)
MPD	https://en.wikipedia.org/wiki/MPD_(programming_language)
MSL	https://en.wikipedia.org/wiki/MIRC_scripting_language
MUMPS	https://en.wikipedia.org/wiki/MUMPS
MuPAD	https://en.wikipedia.org/wiki/MuPAD
Mutan	https://en.wikipedia.org/wiki/Ethereum
Mystic Programming Language	https://en.wikipedia.org/wiki/Mystic_BBS
NASM	https://en.wikipedia.org/wiki/Netwide_Assembler
Napier88	https://en.wikipedia.org/wiki/Napier88
Neko	https://en.wikipedia.org/wiki/Neko_(programming_language)
Nemerle	https://en.wikipedia.org/wiki/Nemerle
NESL	https://en.wikipedia.org/wiki/NESL
Net.Data	https://en.wikipedia.org/wiki/Net.Data
NetLogo	https://en.wikipedia.org/wiki/NetLogo
NetRexx	https://en.wikipedia.org/wiki/NetRexx
NewLISP	https://en.wikipedia.org/wiki/NewLISP
NEWP	https://en.wikipedia.org/wiki/NEWP
Newspeak	https://en.wikipedia.org/wiki/Newspeak_(programming_language)
NewtonScript	https://en.wikipedia.org/wiki/NewtonScript
Nial	https://en.wikipedia.org/wiki/Nial
Nickle	https://en.wikipedia.org/wiki/Nickle_(programming_language)
NITIN	https://en.wikipedia.org/wiki/Nickle_(programming_language)
Nim	https://en.wikipedia.org/wiki/Nim_(programming_language)
Nix (Systems configuration language)	https://en.wikipedia.org/wiki/Nix_package_manager
NPL	https://en.wikipedia.org/wiki/NORD_Programming_Language
Not eXactly C	https://en.wikipedia.org/wiki/Not_eXactly_C
Not Quite C	https://en.wikipedia.org/wiki/Not_Quite_C
NSIS	https://en.wikipedia.org/wiki/Nullsoft_Scriptable_Install_System
Nu	https://en.wikipedia.org/wiki/Nu_(programming_language)
NWScript	https://en.wikipedia.org/wiki/NWScript
NXT-G	https://en.wikipedia.org/wiki/NXT-G
o:XML	https://en.wikipedia.org/wiki/O:XML
Oak	https://en.wikipedia.org/wiki/Oak_(programming_language)
Oberon	https://en.wikipedia.org/wiki/Oberon_(programming_language)
OBJ2	https://en.wikipedia.org/wiki/OBJ2
Object Lisp	https://en.wikipedia.org/wiki/Object_Lisp
ObjectLOGO	https://en.wikipedia.org/wiki/ObjectLOGO
Object REXX	https://en.wikipedia.org/wiki/Object_REXX
Object Pascal	https://en.wikipedia.org/wiki/Object_Pascal
Objective-C	https://en.wikipedia.org/wiki/Objective-C
Objective-J	https://en.wikipedia.org/wiki/Objective-J
Obliq	https://en.wikipedia.org/wiki/Obliq
OCaml	https://en.wikipedia.org/wiki/OCaml
occam	https://en.wikipedia.org/wiki/Occam_(programming_language)
occam-π	https://en.wikipedia.org/wiki/Occam-%CF%80
Octave	https://en.wikipedia.org/wiki/GNU_Octave
OmniMark	https://en.wikipedia.org/wiki/OmniMark
Opa	https://en.wikipedia.org/wiki/Opa_(programming_language)
Opal	https://en.wikipedia.org/wiki/Opal_(programming_language)
OpenCL	https://en.wikipedia.org/wiki/OpenCL
OpenEdge ABL	https://en.wikipedia.org/wiki/OpenEdge_Advanced_Business_Language
OPL	https://en.wikipedia.org/wiki/Open_Programming_Language
OpenVera	https://en.wikipedia.org/wiki/OpenVera
OPS5	https://en.wikipedia.org/wiki/OPS5
OptimJ	https://en.wikipedia.org/wiki/OptimJ
Orc	https://en.wikipedia.org/wiki/Orc_(programming_language)
ORCA/Modula-2	https://en.wikipedia.org/wiki/ORCA/Modula-2
Oriel	https://en.wikipedia.org/wiki/Oriel_(scripting_language)
Orwell	https://en.wikipedia.org/wiki/Orwell_(programming_language)
Oxygene	https://en.wikipedia.org/wiki/Oxygene_(programming_language)
Oz	https://en.wikipedia.org/wiki/Oz_(programming_language)
P	https://en.wikipedia.org/wiki/P_(programming_language)
P4	https://en.wikipedia.org/wiki/P4_(programming_language)
P′′	https://en.wikipedia.org/wiki/P%E2%80%B2%E2%80%B2
ParaSail (programming language)	https://en.wikipedia.org/wiki/ParaSail_(programming_language)
