name	source	about	first_release	types	paradigms	website
actionscript	https://en.wikipedia.org/wiki/ActionScript	ActionScript is an object-oriented programming language originally developed by Macromedia Inc. (later acquired by Adobe Systems). It is influenced by HyperTalk, the scripting language for HyperCard.[2] It is now an implementation of ECMAScript (meaning it is a superset of the syntax and semantics of the language more widely known as JavaScript), though it originally arose as a sibling, both being influenced by HyperTalk.	1998	['strong', 'static']	['Multi-paradigm', 'object-oriented', 'prototype-based', 'functional', 'imperative', 'scripting']	https://www.adobe.com/devnet/actionscript/articles/actionscript3_overview.html
actor	https://en.wikipedia.org/wiki/Actor_(programming_language)	The Actor programming language was invented by Charles Duff of The Whitewater Group in 1988. It was an offshoot of some object-oriented extensions to the Forth language he had been working on.				
ada	https://en.wikipedia.org/wiki/Ada_(programming_language)	Ada is a structured, statically typed, imperative, and object-oriented high-level programming language, extended from Pascal and other languages. It has built-in language support for design by contract (DbC), extremely strong typing, explicit concurrency, tasks, synchronous message passing, protected objects, and non-determinism. Ada improves code safety and maintainability by using the compiler to find errors in favor of runtime errors. Ada is an international technical standard, jointly defined by the International Organization for Standardization (ISO), and the International Electrotechnical Commission (IEC). As of 2020, the standard, called Ada 2012 informally,[7] is ISO/IEC 8652:2012.[8]	1980	['static', 'strong', 'safe', 'nominative']	['Multi-paradigm']	http://www.adaic.org/
adenine	https://en.wikipedia.org/wiki/Adenine_(programming_language)	Haystack is a project at the Massachusetts Institute of Technology to research and develop several applications around personal information management and the Semantic Web. The most notable of those applications is the Haystack client, a research personal information manager (PIM) and one of the first to be based on semantic desktop technologies. The Haystack client is published as open source software under the BSD license.				
advpl	https://en.wikipedia.org/wiki/AdvPL	AdvPL (Advanced Protheus Language) is a proprietary programming language based on xBase. It was released in 1999 and is used for development of applications in the ERP Protheus made by TOTVS.[2][1]				
agda	https://en.wikipedia.org/wiki/Agda_(theorem_prover)	Agda is a dependently typed functional programming language originally developed by Ulf Norell at Chalmers University of Technology with implementation described in his PhD thesis.[2] The original Agda system was developed at Chalmers by Catarina Coquand in 1999.[3] The current version, originally known as Agda 2, is a full rewrite, which should be considered a new language that shares a name and tradition.	1999	['strong', 'static', 'dependent', 'nominal', 'manifest', 'inferred']	['Functional']	http://wiki.portal.chalmers.se/agda
agilent vee	https://en.wikipedia.org/wiki/Agilent_VEE	Keysight VEE is a graphical dataflow programming software development environment from Keysight Technologies for automated test, measurement, data analysis and reporting. VEE originally stood for Visual Engineering Environment and developed by HP designated as HP VEE; it has since been officially renamed to Keysight VEE. Keysight VEE has been widely used in various industries, serving the entire stage of a product lifecycle, from design, validation to manufacturing. It is optimized in instrument control and automation with test and measurement devices such as data acquisition instruments like digital voltmeters and oscilloscopes, and source devices like signal generators and programmable power supplies.				http://www.keysight.com/find/vee
agora	https://en.wikipedia.org/wiki/Agora_(programming_language)	Agora is a reflective, prototype-based, object-oriented programming language that is based exclusively on message passing and not delegation. Agora was intended to show that even subject to that limit, it is possible to build a full object-oriented language that features inheritance, cloning and reflective operators.				
aimms	https://en.wikipedia.org/wiki/AIMMS	AIMMS (acronym for Advanced Interactive Multidimensional Modeling System) is a prescriptive analytics software company with offices in the Netherlands, United States, China and Singapore.				http://www.aimms.com/
aldor	https://en.wikipedia.org/wiki/Aldor	Aldor is a programming language. It is the successor of A# as the extension language of the Axiom computer algebra system.	1990		['Multi-paradigm', 'object-oriented', 'functional', 'imperative', 'dependent typed', 'logic']	http://www.aldor.org/
alef	https://en.wikipedia.org/wiki/Alef_(programming_language)	Alef is a discontinued concurrent programming language, designed as part of the Plan 9 operating system by Phil Winterbottom of Bell Labs. It implemented the channel-based concurrency model of Newsqueak in a compiled, C-like language.	1992	['Static', 'strong']	['compiled', 'concurrent', 'structured']	
alf	https://en.wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language	Algebraic Logic Functional programming language, also known as ALF, is a programming language which combines functional and logic programming techniques. Its foundation is Horn clause logic with equality which consists of predicates and Horn clauses for logic programming, and functions and equations for functional programming.			['multi-paradigm', 'logic', 'functional']	http://www.informatik.uni-kiel.de/~mh/systems/ALF/README
algol 58	https://en.wikipedia.org/wiki/ALGOL_58	ALGOL 58, originally named IAL, is one of the family of ALGOL computer programming languages. It was an early compromise design soon superseded by ALGOL 60. According to John Backus[2]	1958	['Static', 'strong']	['procedural', 'imperative', 'structured']	
algol 60	https://en.wikipedia.org/wiki/ALGOL_60	ALGOL 60 (short for Algorithmic Language 1960) is a member of the ALGOL family of computer programming languages. It followed on from ALGOL 58 which had introduced code blocks and the begin and end pairs for delimiting them, representing a key advance in the rise of structured programming. ALGOL 60 was the first language implementing nested function definitions with lexical scope. It gave rise to many other programming languages, including CPL, Simula, BCPL, B, Pascal, and C. Practically every computer of the era had a systems programming language based on ALGOL 60 concepts.	1960	['Static', 'strong']	['procedural', 'imperative', 'structured']	
algol 68	https://en.wikipedia.org/wiki/ALGOL_68	ALGOL 68 (short for Algorithmic Language 1968) is an imperative programming language that was conceived as a successor to the ALGOL 60 programming language, designed with the goal of a much wider scope of application and more rigorously defined syntax and semantics.	1968	['static', 'strong', 'safe', 'structural']	['Multi-paradigm', 'concurrent', 'imperative']	
algol w	https://en.wikipedia.org/wiki/ALGOL_W	ALGOL W is a programming language. It is based on a proposal for ALGOL X by Niklaus Wirth and Tony Hoare as a successor to ALGOL 60 in International Federation for Information Processing (IFIP) IFIP Working Group 2.1 on Algorithmic Languages and Calculi, which specified, maintains, and supports the languages ALGOL 60 and ALGOL 68.[1] When the committee decided that the proposal was an insufficient advance over ALGOL 60, the proposal was published as A contribution to the development of ALGOL.[2] After making small modifications to the language[3] Wirth supervised a high quality implementation for the IBM System/360 at Stanford University that was widely distributed.[4]	1966	['Static', 'strong']	['Multi-paradigm', 'procedural', 'imperative', 'structured']	
alice	https://en.wikipedia.org/wiki/Alice_(programming_language)	Alice ML is a programming language designed by the Programming Systems Laboratory[2] at Saarland University, Saarbrücken, Germany. It is a dialect of Standard ML, augmented with support for lazy evaluation, concurrency (multithreading and distributed computing via remote procedure calls) and constraint programming.	2000	['strong', 'static', 'inferred']	['Multi-paradigm', 'imperative', 'functional', 'distributed', 'concurrent']	http://www.ps.uni-saarland.de/alice
alma-0	https://en.wikipedia.org/wiki/Alma-0	Alma-0 is a multi-paradigm computer programming language. This language is an augmented version of the imperative Modula-2 language with logic-programming features and convenient backtracking ability.[1] It is small, strongly typed, and combines constraint programming, a limited number of features inspired by logic programming and supports imperative paradigms. The language advocates declarative programming. The designers claim that search-oriented solutions built with it are substantially simpler than their counterparts written in purely imperative or logic programming style.[2] Alma-0 provides natural, high-level constructs for building search trees.[3]	1997	['static']	['multi-paradigm', 'constraint', 'imperative', 'logic']	http://www.cwi.nl/en/alma
ambienttalk	https://en.wikipedia.org/wiki/AmbientTalk	AmbientTalk is an experimental object-oriented distributed programming language developed at the Programming Technology Laboratory at the Vrije Universiteit Brussel, Belgium. The language is primarily targeted at writing programs deployed in mobile ad hoc networks.	2006	['dynamic', 'strong']	['object-oriented', 'prototype-based', 'Concurrent', 'Event-driven', 'Reflective']	http://soft.vub.ac.be/amop
amiga e	https://en.wikipedia.org/wiki/Amiga_E	Amiga E, or very often simply E, is a programming language created by Wouter van Oortmerssen on the Amiga. He has since moved on to develop the SHEEP programming language for the new AmigaDE platform and the CryScript language (also known as DOG) used during the development of the video game Far Cry.				
amos	https://en.wikipedia.org/wiki/AMOS_(programming_language)	AMOS BASIC is a dialect of the BASIC programming language implemented on the Amiga computer. AMOS BASIC was published by Europress Software and originally written by François Lionet with Constantin Sotiropoulos.	1990		['Imperative', 'Procedural']	https://web.archive.org/web/20120204085705/http://www.clickteam.com/eng/downloadcenter.php?i=58
ampl	https://en.wikipedia.org/wiki/AMPL	AMPL (A Mathematical Programming Language) is an algebraic modeling language to describe and solve high-complexity problems for large-scale mathematical computing (i.e., large-scale optimization and scheduling-type problems).[1] It was developed by Robert Fourer, David Gay, and Brian Kernighan at Bell Laboratories. AMPL supports dozens of solvers, both open source and commercial software, including CBC, CPLEX, FortMP, Gurobi, MINOS, IPOPT, SNOPT, KNITRO, and LGO. Problems are passed to solvers as nl files. AMPL is used by more than 100 corporate clients, and by government agencies and academic institutions.[2]	1985		['Multi-paradigm', 'declarative', 'imperative']	http://www.ampl.com/
angelscript	https://en.wikipedia.org/wiki/AngelScript	AngelScript is a game-oriented compiled scripting language.	2003	['static', 'strong']	['Multi-paradigm', 'scripting', 'imperative', 'procedural', 'object-oriented']	http://angelcode.com/angelscript
apache pig latin	https://en.wikipedia.org/wiki/Apache_Pig	Apache Pig[1] is a high-level platform for creating programs that run on Apache Hadoop. The language for this platform is called Pig Latin.[1] Pig can execute its Hadoop jobs in MapReduce, Apache Tez, or Apache Spark.[2] Pig Latin abstracts the programming from the Java MapReduce idiom into a notation which makes MapReduce programming high level, similar to that of SQL for relational database management systems. Pig Latin can be extended using user-defined functions (UDFs) which the user can write in Java, Python, JavaScript, Ruby or Groovy[3] and then call directly from the language.	2008			https://pig.apache.org/
apex	https://en.wikipedia.org/wiki/Apex_(programming_language)	Salesforce.com, Inc. is an American cloud-based software company headquartered in San Francisco, California. It provides customer relationship management (CRM) service and also provides a complementary suite of enterprise applications focused on customer service, marketing automation, analytics, and application development.				http://salesforce.com/
apl	https://en.wikipedia.org/wiki/APL_(programming_language)	APL (named after the book A Programming Language)[3] is a programming language developed in the 1960s by Kenneth E. Iverson. Its central datatype is the multidimensional array. It uses a large range of special graphic symbols[4] to represent most functions and operators, leading to very concise code. It has been an important influence on the development of concept modeling, spreadsheets, functional programming,[5] and computer math packages.[6] It has also inspired several other programming languages.[7][8]	1966	['Dynamic']	['Array', 'functional', 'structured', 'modular']	
app inventor for android's visual block language	https://en.wikipedia.org/wiki/App_Inventor_for_Android_(programming_language)	MIT App Inventor is a web application integrated development environment originally provided by Google, and now maintained by the Massachusetts Institute of Technology (MIT). It allows newcomers to computer programming to create application software(apps) for two operating systems (OS): Android, and iOS, which, as of 8 July 2019, is in final beta testing. It is free and open-source software released under dual licensing: a Creative Commons Attribution ShareAlike 3.0 Unported license, and an Apache License 2.0 for the source code.	2010			http://appinventor.mit.edu/
applescript	https://en.wikipedia.org/wiki/AppleScript	"AppleScript is a scripting language created by Apple Inc. that facilitates automated control over scriptable Mac applications. First introduced in System 7, it is currently included in all versions of macOS as part of a package of system automation tools.[2][3] The term ""AppleScript"" may refer to the language itself, to an individual script written in the language, or, informally, to the macOS Open Scripting Architecture that underlies the language.[2][3]"	1993	['Weak', 'dynamic']	['Natural language programming', 'Scripting']	https://developer.apple.com/library/content/documentation/AppleScript/Conceptual/AppleScriptX/AppleScriptX.html
apt	https://en.wikipedia.org/wiki/APT_(programming_language)	APT (Automatically Programmed Tool)[1] is a high-level computer programming language most commonly used to generate instructions for numerically controlled machine tools. Douglas T. Ross[2] is considered by many to be the father of APT: as head of the newly created Computer Applications Group of the Servomechanisms Laboratory at MIT in 1956, he led its technical effort. APT is a language and system that alleviates the tedious mathematics of writing toolpaths for numerically controlled equipment. This early language was used widely through the 1970s and is still a standard internationally.[3] Derivatives of APT were later developed.				
arc	https://en.wikipedia.org/wiki/Arc_(programming_language)	Arc is a programming language, a dialect of the language Lisp, developed by Paul Graham and Robert Morris. It is free and open-source software released under the Artistic License 2.0.	2008	['Dynamic']	['Multi-paradigm', 'functional', 'meta', 'procedural']	http://arclanguage.org/
arexx	https://en.wikipedia.org/wiki/ARexx	"ARexx is an implementation of the Rexx language for the Amiga, written in 1987 by William S. Hawes, with a number of Amiga-specific features beyond standard REXX facilities. Like most REXX implementations, ARexx is an interpreted language. Programs written for ARexx are called ""scripts"", or ""macros""; several programs offer the ability to run ARexx scripts in their main interface as macros."				
argus	https://en.wikipedia.org/wiki/Argus_(programming_language)	Argus is a programming language created at MIT by Barbara Liskov between 1982 and 1988, in collaboration with Maurice Herlihy, Paul Johnson, Robert Scheifler, and William Weihl.[1] It is an extension of the CLU language, and utilizes most of the same syntax and semantics.[1] Argus was designed to support the creation of distributed programs, by encapsulating related procedures within objects called guardians, and by supporting atomic operations called actions.[1][2]				
assembly language	https://en.wikipedia.org/wiki/Assembly_language	In computer programming, assembly language (or assembler language),[1] often abbreviated asm, is any low-level programming language in which there is a very strong correspondence between the instructions in the language and the architecture's machine code instructions.[2] Because assembly depends on the machine code instructions, every assembly language is designed for exactly one specific computer architecture. Assembly language may also be called symbolic machine code.[3][4]	1949		['Imperative', 'unstructured']	
autohotkey	https://en.wikipedia.org/wiki/AutoHotkey	AutoHotkey is a free, open-source custom scripting language for Microsoft Windows, initially aimed at providing easy keyboard shortcuts or hotkeys, fast macro-creation and software automation that allows users of most levels of computer skill to automate repetitive tasks in any Windows application. User interfaces can easily be extended or modified by AutoHotkey (for example, overriding the default Windows control key commands with their Emacs equivalents).[6] The AutoHotkey installation includes its own extensive help file, and web-based documentation is also available.[7]	2003			http://autohotkey.com/
autoit	https://en.wikipedia.org/wiki/AutoIt	AutoIt /ɔːtoʊ ɪt/[3] is a freeware programming language for Microsoft Windows. In its earliest release, it was primarily intended to create automation scripts (sometimes called macros) for Microsoft Windows programs[4] but has since grown to include enhancements in both programming language design and overall functionality.	1999		['Object-oriented', 'imperative', 'functional', 'procedural', 'reflective']	https://www.autoitscript.com/
autolisp / visual lisp	https://en.wikipedia.org/wiki/AutoLISP	AutoLISP is a dialect of the programming language Lisp built specifically for use with the full version of AutoCAD and its derivatives, which include AutoCAD Map 3D, AutoCAD Architecture and AutoCAD Mechanical.[1] Neither the application programming interface (API) nor the interpreter to execute AutoLISP code are included in the AutoCAD LT product line.[2]	1986			
averest	https://en.wikipedia.org/wiki/Averest	Averest is a synchronous programming language and set of tools to specify, verify, and implement reactive systems. It includes a compiler for synchronous programs, a symbolic model checker, and a tool for hardware/software synthesis.				
awk	https://en.wikipedia.org/wiki/AWK	AWK (awk)[4] is a domain-specific language designed for text processing and typically used as a data extraction and reporting tool. Like sed and grep, it is a filter,[4] and is a standard feature of most Unix-like operating systems.	1977		['Scripting', 'procedural', 'data-driven', '[1]']	
axum	https://en.wikipedia.org/wiki/Axum_(programming_language)	Axum (previously codenamed Maestro) is a domain-specific concurrent programming language, based on the Actor model, that was under active development by Microsoft[1] between 2009 and 2011.[2] It is an object-oriented language based on the .NET Common Language Runtime using a C-like syntax which, being a domain-specific language, is intended for development of portions of a software application that is well-suited to concurrency. But it contains enough general-purpose constructs that one need not switch to a general-purpose programming language (like C#) for the sequential parts of the concurrent components.[1]	2009			http://msdn.microsoft.com/en-us/devlabs/dd795202.aspx
b	https://en.wikipedia.org/wiki/B_(programming_language)	B is a programming language developed at Bell Labs circa 1969. It was developed by Ken Thompson and Dennis Ritchie.	1969	['word']		
babbage	https://en.wikipedia.org/wiki/Babbage_(programming_language)	Babbage is the high level assembly language for the GEC 4000 series minicomputers.[1] It was named after Charles Babbage, an English computing pioneer.	1971		['procedural', 'structured', 'High-level assembler']	
ballerina	https://en.wikipedia.org/wiki/Ballerina_(programming_language)	Ballerina is an open source general-purpose programming language and platform designed by WSO2 for cloud-era application programmers. It is easy to write and modify and is suitable for application programmers.[5][6][7]	2017	['Structural', 'strong', 'static', 'inferred']		http://ballerina.io/
bash	https://en.wikipedia.org/wiki/Bash_(Unix_shell)	Bash is a Unix shell and command language written by Brian Fox for the GNU Project as a free software replacement for the Bourne shell.[7][8] First released in 1989,[9] it has been used as the default login shell for most Linux distributions.[10] A version is also available for Windows 10 via the Windows Subsystem for Linux.[11] It is also the default user shell in Solaris 11.[12] Bash also was the default shell in all versions of Apple macOS prior to 2019.[13]	1989			https://www.gnu.org/software/bash/
basic	https://en.wikipedia.org/wiki/BASIC	BASIC (Beginners' All-purpose Symbolic Instruction Code)[1] is a family of general-purpose, high-level programming languages whose design philosophy emphasizes ease of use. The original version was designed by John G. Kemeny and Thomas E. Kurtz and released at Dartmouth College in 1964. They wanted to enable students in fields other than science and mathematics to use computers. At the time, nearly all use of computers required writing custom software, which was something only scientists and mathematicians tended to learn.	1964		['Non-structured', 'procedural', 'object-oriented']	
batch file	https://en.wikipedia.org/wiki/Batch_file	"A batch file is a script file in DOS, OS/2 and Microsoft Windows. It consists of a series of commands to be executed by the command-line interpreter, stored in a plain text file. A batch file may contain any command the interpreter accepts interactively and use constructs that enable conditional branching and looping within the batch file, such as IF, FOR, and GOTO labels. The term ""batch"" is from batch processing, meaning ""non-interactive execution"", though a batch file may not process a batch of multiple data."				
bc	https://en.wikipedia.org/wiki/Bc_(programming_language)	"bc, for basic calculator (often referred to as bench calculator), is ""an arbitrary-precision calculator language"" with syntax similar to the C programming language. bc is typically used as either a mathematical scripting language or as an interactive mathematical shell."	1975			
bcpl	https://en.wikipedia.org/wiki/BCPL	"BCPL (""Basic Combined Programming Language"") is a procedural, imperative, and structured programming language. Originally intended for writing compilers for other languages, BCPL is no longer in common use. However, its influence is still felt because a stripped down and syntactically changed version of BCPL, called B, was the language on which the C programming language was based. BCPL introduced several features of many modern programming languages, including using curly braces to delimit code blocks.[3] BCPL was first implemented by Martin Richards of the University of Cambridge in 1967.[1]"	1967	['word']	['procedural', 'imperative', 'structured']	
beanshell	https://en.wikipedia.org/wiki/BeanShell	BeanShell is a Java-like scripting language, invented by Patrick Niemeyer. It runs in the Java Runtime Environment (JRE) and uses a variation of the Java syntax, in addition to scripting commands and syntax.	1999	['Dynamic', 'strong']	['Object-oriented', 'scripting']	http://www.beanshell.org/
bertrand	https://en.wikipedia.org/wiki/Bertrand_(programming_language)	Bertrand (named after Bertrand Russell) is a computer programming language for creating constraint programming systems. The language was created by Wm Leler in the mid-1980s as part of his doctoral research. Bertrand has a declarative programming syntax and differentiates itself from other programming languages by use of a technique called augmented term rewriting.				
beta	https://en.wikipedia.org/wiki/BETA_(programming_language)	"BETA is a pure object-oriented language originating within the ""Scandinavian School"" in object-orientation where the first object-oriented language Simula was developed.[1] Among its notable features, it introduced nested classes, and unified classes with procedures into so called patterns."			['Object-oriented']	http://beta.cs.au.dk/
bliss	https://en.wikipedia.org/wiki/BLISS_(programming_language)	BLISS is a system programming language developed at Carnegie Mellon University by W. A. Wulf, D. B. Russell, and A. N. Habermann around 1970. It was perhaps the best known systems programming language right up until C made its debut a few years later. Since then, C took off and BLISS faded into obscurity. When C was in its infancy, a few projects within Bell Labs were debating the merits of BLISS vs. C[citation needed].	1970		['Structured', 'imperative', 'procedural']	http://pdp-10.trailing-edge.com/bb-m836d-bm/
blockly	https://en.wikipedia.org/wiki/Blockly	Blockly is a client-side library for the programming language JavaScript for creating block-based visual programming languages (VPLs) and editors. A project of Google, it is free and open-source software released under the Apache License 2.0.[1] It typically runs in a web browser, and visually resembles the language Scratch. It is also being implemented for the mobile operating systems Android and iOS, though not all of its browser-based features will be available on those platforms.	2012			http://developers.google.com/blockly
bloop	https://en.wikipedia.org/wiki/BlooP_and_FlooP	BlooP and FlooP are simple programming languages designed by Douglas Hofstadter to illustrate a point in his book Gödel, Escher, Bach.[1] BlooP is a non-Turing-complete programming language whose main control flow structure is a bounded loop (i.e. recursion is not permitted). All programs in the language must terminate, and this language can only express primitive recursive functions.[2]				
boo	https://en.wikipedia.org/wiki/Boo_(programming_language)	Boo is an object-oriented, statically typed, general-purpose programming language that seeks to make use of the Common Language Infrastructure's support for Unicode, internationalization, and web applications, while using a Python-inspired syntax[2] and a special focus on language and compiler extensibility. Some features of note include type inference, generators, multimethods, optional duck typing, macros, true closures, currying, and first-class functions.	2003	['static', 'strong', 'inferred', 'duck']	['Object oriented']	https://github.com/boo-lang
boomerang	https://en.wikipedia.org/wiki/Boomerang_(programming_language)	Boomerang is a programming language for writing lenses—well-behaved bidirectional transformations —that operate on ad-hoc, textual data formats.	2008			http://www.seas.upenn.edu/~harmony/
bosque	https://en.wikipedia.org/wiki/Bosque_(programming_language)	Bosque is a free and open-source programming language developed by Microsoft that was inspired by the syntax and types of TypeScript and the semantics of ML and Node/JavaScript.[3][4] Design goals for the language include better software quality and improved developer productivity.[5][6]	2019		['Multi-paradigm', 'functional', 'typed language']	https://www.microsoft.com/en-us/research/project/bosque-programming-language/
c	https://en.wikipedia.org/wiki/C_(programming_language)	C (/siː/, as in the letter c) is a general-purpose, procedural computer programming language supporting structured programming, lexical variable scope, and recursion, with a static type system. By design, C provides constructs that map efficiently to typical machine instructions. It has found lasting use in applications previously coded in assembly language. Such applications include operating systems and various application software for computer architectures that range from supercomputers to PLCs and embedded systems.	1972	['Static', 'weak', 'manifest', 'nominal']	['Imperative', 'procedural', 'structured']	https://www.iso.org/standard/74528.html
c--	https://en.wikipedia.org/wiki/C--	C-- (pronounced see minus minus) is a C-like programming language. Its creators, functional programming researchers Simon Peyton Jones and Norman Ramsey, designed it to be generated mainly by compilers for very high-level languages rather than written by human programmers. Unlike many other intermediate languages, its representation is plain ASCII text, not bytecode or another binary format.[1][2]	1997	['static', 'weak']	['imperative']	https://www.cs.tufts.edu/~nr/c--/index.html
c++	https://en.wikipedia.org/wiki/C%2B%2B	"C++ (/ˌsiːˌplʌsˈplʌs/) is a general-purpose programming language created by Bjarne Stroustrup as an extension of the C programming language, or ""C with Classes"". The language has expanded significantly over time, and modern C++ now has object-oriented, generic, and functional features in addition to facilities for low-level memory manipulation. It is almost always implemented as a compiled language, and many vendors provide C++ compilers, including the Free Software Foundation, LLVM, Microsoft, Intel, Oracle, and IBM, so it is available on many platforms.[9]"	1985	['Static', 'nominative', 'partially inferred']	['Multi-paradigm', 'procedural', 'functional', 'object-oriented', 'generic', 'modular']	https://isocpp.org/
c*	https://en.wikipedia.org/wiki/C*	C* (or C-star) is an object-oriented, data-parallel superset of ANSI C with synchronous semantics.	1987	['static', 'weak', 'manifest']	['multi-paradigm', 'object-oriented', 'imperative', 'parallel']	
c#	https://en.wikipedia.org/wiki/C_Sharp_(programming_language)	C# (pronounced see sharp, like the musical note C♯, but written with the number sign)[b] is a general-purpose, multi-paradigm programming language encompassing static typing, strong typing, lexically scoped, imperative, declarative, functional, generic, object-oriented (class-based), and component-oriented programming disciplines.[16]	2000	['Static', 'dynamic', '[3]', 'strong', 'safe', 'nominative', 'partially inferred']	['Structured', 'imperative', 'object-oriented', 'event-driven', 'task-driven', 'functional', 'generic', 'reflective', 'concurrent']	http://csharp.net/
c/al	https://en.wikipedia.org/wiki/C/AL	C/AL (Client/server Application Language) was the programming language used within C/SIDE the Client/Server Integrated Development Environment in Microsoft Dynamics NAV (Formerly known as Navision Attain) and Microsoft Dynamics 365 Business Central up until (and including) version 14. It has been replaced by AL. C/AL is a Database specific programming language, and is primarily used for retrieving, inserting and modifying records in a Navision database. C/AL resembles the Pascal language on which it is based. The original C/AL compiler was written by Michael Nielsen.[1]				
caché objectscript	https://en.wikipedia.org/wiki/Cach%C3%A9_ObjectScript	Caché ObjectScript is a part of the Caché database system sold by InterSystems. The language is a functional superset of the ANSI-standard MUMPS programming language. Since Caché is at its core a MUMPS implementation, it can run ANSI MUMPS routines with no change. To appeal as a commercial product, Caché implements support for object-oriented programming, a macro preprocessing language, embedded SQL for ANSI-standard SQL access to M's built-in database, procedure and control blocks using C-like brace syntax, procedure-scoped variables, and relaxed whitespace syntax limitations.	1997			
c shell	https://en.wikipedia.org/wiki/C_Shell	The C shell (csh or the improved version, tcsh) is a Unix shell created by Bill Joy while he was a graduate student at University of California, Berkeley in the late 1970s. It has been widely distributed, beginning with the 2BSD release of the Berkeley Software Distribution (BSD) which Joy first distributed in 1978.[2][3] Other early contributors to the ideas or the code were Michael Ubell, Eric Allman, Mike O'Brien and Jim Kulp.[4]	1978			
caml	https://en.wikipedia.org/wiki/Caml	Caml (originally an acronym for Categorical Abstract Machine Language) is a multi-paradigm, general-purpose programming language which is a dialect of the ML programming language family. Caml was developed in France at INRIA and ENS.	1985	['Inferred', 'static', 'strong']	['Multi-paradigm', 'functional', 'imperative']	http://caml.inria.fr/
